greenac01,A.C. Green,1986-2001,0,,,
bramlaj01,A.J. Bramlett,2000,0,,,
engliaj01,A.J. English,1991-1992,0,,,
guytoaj01,A.J. Guyton,2001-2003,0,,,
hammoaj01,A.J. Hammons,2017,1,,,
matthaj01,A.J. Matthews,-,0,,,
priceaj01,A.J. Price,2010-2015,0,,,
slaugaj01,A.J. Slaughter,-,0,,,
wyndeaj01,A.J. Wynder,1991,0,,,
holtaw01,A.W. Holt,1971,0,,,
brookaa01,Aaron Brooks,2008-2018,1,,,
craftaa01,Aaron Craft,-,0,,,
gordoaa01,Aaron Gordon,2015-2018,1,,,
grayaa01,Aaron Gray,2008-2014,0,,,
harriaa01,Aaron Harrison,2016-2018,1,,,
holidaa01,Aaron Holiday,-,0,,,
jacksaa01,Aaron Jackson,2018,1,,,
jamesaa01,Aaron James,1975-1979,0,,,
mckieaa01,Aaron McKie,1995-2007,0,,,
milesaa01,Aaron Miles,2006,0,,,
swinsaa01,Aaron Swinson,1995,0,,,
whiteaa01,Aaron White,-,0,,,
williaa01,Aaron Williams,1994-2008,0,,,
naderab01,Abdel Nader,2018,1,,,
gaddyab01,Abdul Gaddy,-,0,,,
jeelaab01,Abdul Jeelani,1980-1981,0,,,
earlac01,Acie Earl,1994-1997,0,,,
lawac01,Acie Law,2008-2011,0,,,
hangaad01,Adam Hanga,-,0,,,
harriad01,Adam Harrington,2003,0,,,
keefead01,Adam Keefe,1993-2001,0,,,
morriad01,Adam Morrison,2007-2010,0,,,
foylead01,Adonal Foyle,1998-2009,0,,,
jordaad01,Adonis Jordan,1994-1999,0,,,
thomaad01,Adonis Thomas,2014,0,,,
paynead01,Adreian Payne,2015-2018,1,,,
brancad01,Adrian Branch,1987-1990,0,,,
caldwad01,Adrian Caldwell,1990-1998,0,,,
dantlad01,Adrian Dantley,1977-1991,0,,,
griffad01,Adrian Griffin,2000-2008,0,,,
smithad01,Adrian Smith,1962-1972,0,,,
mitchak01,Akil Mitchell,-,0,,,
attleal01,Al Attles,1961-1971,0,,,
beardal01,Al Beard,1968,0,,,
biancal01,Al Bianchi,1957-1966,0,,,
brighal01,Al Brightman,1947,0,,,
butleal01,Al Butler,1962-1965,0,,,
carlsal01,Al Carlson,1976,0,,,
cervial01,Al Cervi,1950-1953,0,,,
cuetoal01,Al Cueto,1970-1971,0,,,
eberhal01,Al Eberhard,1975-1978,0,,,
ferraal01,Al Ferrari,1956-1963,0,,,
flemial01,Al Fleming,1978,0,,,
guokaal01,Al Guokas,1950,0,,,
hairsal01,Al Hairston,1969-1970,0,,,
harrial01,Al Harrington,1999-2014,0,,,
henryal01,Al Henry,1971-1972,0,,,
horfoal01,Al Horford,2008-2018,1,,,
jacksal01,Al Jackson,1968,0,,,
jeffeal01,Al Jefferson,2005-2018,1,,,
lucasal01,Al Lucas,1949,0,,,
lujacal01,Al Lujack,1947,0,,,
masinal01,Al Masino,1953-1954,0,,,
miksial01,Al Miksis,1950,0,,,
negraal01,Al Negratti,1947,0,,,
rogesal01,Al Roges,1954-1955,0,,,
salvaal01,Al Salvadori,1968,0,,,
sandeal01,Al Sanders,1973,0,,,
skinnal01,Al Skinner,1975-1980,0,,,
smithal01,Al Smith,1972-1976,0,,,
thornal01,Al Thornton,2008-2011,0,,,
tuckeal01,Al Tucker,1968-1972,0,,,
willial01,Al Williams,1971,0,,,
woodal01,Al Wood,1982-1987,0,,,
aminual01,Al-Farouq Aminu,2011-2018,1,,,
abdelal01,Alaa Abdelnaby,1991-1995,0,,,
aminual02,Alade Aminu,-,0,,,
anderal01,Alan Anderson,2006-2017,1,,,
hardyal01,Alan Hardy,1981-1982,0,,,
hendeal01,Alan Henderson,1996-2007,0,,,
oggal01,Alan Ogg,1991-1993,0,,,
sawyeal01,Alan Sawyer,1951,0,,,
willial03,Alan Williams,2016-2018,1,,,
tuckeal02,Alando Tucker,2008-2010,0,,,
kingal01,Albert King,1982-1992,0,,,
miralal01,Albert Miralles,-,0,,,
